id,name,region,coat_of_arms,words,founded,died_out
297,House Peasebury of Poddingfield,The Stormlands,"A green pea pod, burst open, on a white field, bordered by three rows of green peas(Argent, a pea pod open within a bordure of three rows of peas vert)",,,
298,House Peat,The Neck,,,,
299,House Peckledon,The Westerlands,"Ten purple stars, on a yellow field(Or, ten mullets, 4, 3, 2, 1, purpure)","Unflinching",,
300,House Penrose of Parchments,The Stormlands,"White crossed quills, on a russet field(Tenné, two quills saltirewise argent)","Set Down Our Deeds",,
301,House Perryn,The Riverlands,,,,
302,House Piper of Pinkmaiden,The Riverlands,"A pink dancing maiden in a swirl of white silk, on a blue field(Azure, a maiden dancing proper enwrapped with silk argent)","Brave and Beautiful",,
303,House Plumm,The Westerlands,"Three purple roundels, on a gold field(Or, three golpes)","Come Try Me",,
304,House Pommingham,The Reach,"A red pomegranate on white, a double tressure red",,,
305,House Poole,The North,"White, a roundel azure, a tressure cendrée",,,
306,House Prester of Feastfires,The Westerlands,"A red ox, on an ermine field(Ermine, an ox passant gules)","Tireless",,
307,House Pryor of Pebble,The Vale,"A partial eclipse, black moon over yellow sun, on a dusty pink field(Carnation, a sun-in-splendour or surmounted by a moon in her complement sable)",,,
308,House Pyle,The Crownlands,"A grey iron greathelm on white",,,
309,House Pyne,The Crownlands,,,,
310,House Qoherys of Harrenhal,The Riverlands,"A flaming red and yellow saltire between four white skulls, on a black field(Sable, a saltire rayonné gules, tipped or, between four skulls argent)",,ca. 1 AC,37 AC or shortly after
311,House Qorgyle of Sandstone,Dorne,"Gules, three scorpions sable.",,,
312,House Quagg,The Neck,,,,
313,House Rambton,The Crownlands,"Gules, a ram's head cabossed argent attired or",,,
314,House Redbeard,Beyond the Wall,,,300 AC,
315,House Redding,The Reach,"Gules, a flagon Or within a bordure chequy Or and argent",,,
316,House Redfort of Redfort,The Vale,"A red castle, on a white field, within a red embattled border(Argent, a castle within a bordure embattled gules)","As Strong as Stone",,
317,House Redwyne of the Arbor,The Reach,"Azure, a grape cluster proper",,,
318,House Reed of Greywater Watch,The Neck,"Vert, a lizard-lion sable",,,
319,House Reyne of Castamere,The Westerlands,"A red lion rampant regardant with a forked tail, with gold teeth and claws, on a silver field(Argent, a lion rampant regardant queue-fourché gules, armed and langued or)",,,261 AC
320,House Rhysling,The Reach,"An oaken door banded with iron, in a grey stone doorway, on black masonry",,,
321,House Risley,The Reach,"A black knight on a black rearing horse on white, bearing a golden lance and a white shield, upon which is seen the above in miniature",,,
322,House Rogers of Amberly,The Stormlands,"Nine silver unicorns around a silver maze, on a black field(Sable, a maze surrounded by an orle of nine unicorns rampant argent)",,,
323,House Rollingford,The Crownlands,"Six roundels fountain, 3-2-1, on grey",,,
324,House Roote of Lord Harroway's Town,The Riverlands,"A brown double-headed horse on a field of wavy green and green(Wavy vert and vert, a two-headed horse tenné)",,,
325,House Rosby of Rosby,The Crownlands,"Ermine, three chevronels gules",,,
326,House Rowan of Goldengrove,The Reach,"Argent, a tree eradicated",,,
327,House Roxton of the Ring,The Reach,"Bleu celeste, per saltire a chain of rings Or",,,
328,House Royce of Runestone,The Vale,"Black iron studs on a bronze field, bordered with runes(Tenné pelletée, an orle of ancient runes sable)","We Remember",Age of Heroes,
329,House Royce of the Gates of the Moon,The Vale,"A black portcullis over a white crescent moon, on a purple field, bordered with runes on bronze(Purpure, a moon increscent argent surmounted by a portcullis sable, all within a bordure tenné charged with ancient runes of the third)",,,
330,House Ruthermont,The Vale,"Five black starfish on a gold pale, on a field of pean(Pean, on a pale or five starfish sable)",,,
331,House Ruttiger,The Westerlands,"An orange engrailed bend, on a black field(Sable, a bend tenné engrailed)",,,
332,House Ryder of the Rills,The North,,,,
333,House Ryger of Willow Wood,The Riverlands,"A green weeping willow, on a white field(Argent, a willow-tree vert)",,,
334,House Rykker of Duskendale,The Crownlands,"Azure, a cross saltire argent charged with two crossed warhammers sable",,,
335,House Ryswell of the Rills,The North,"Bronze, a horse's head sable orbed and maned gules within a bordure engrailed sable",,,
336,House Saltcliffe of Saltcliffe,Iron Islands,"Argent, a serpent nine-headed sable",,,
337,House Santagar of Spottswood,Dorne,"Per bend sinister azure and argent, a leopard rampant Or spotted sable bearing an axe of the third",,Andal Invasion,
338,House Sarsfield of Sarsfield,The Westerlands,"A green arrow on a white bend, on a green field(Vert, on a bend argent an arrow of the field, point to dexter chief)","True to the Mark",,
339,House Sarwyck,The Westerlands,"A broken silver sword on red",,,
340,House Seaworth of Cape Wrath,The Stormlands,"A black ship on a pale grey field, with a white onion on its sails(Cendrée, a ship sable, its sail charged with an onion argent)",,284 AC,
341,House Selmy of Harvest Hall,The Stormlands,"Three stalks of yellow wheat, on a brown field(Tenné, three stalks of wheat or)",,,
342,House Serrett of Silverhill,The Westerlands,"A peacock in his pride, on a cream field(Argent, a peacock-in-his-pride proper)","I Have No Rival",,
343,House Serry of Southshield,The Reach,"Argent, an escutcheon gules charged with a rose of the first all within a bordure embattled of the second",,,
344,House Sharp,Iron Islands,,,,
345,House Shawney,The Riverlands,"Per fesse, a divided blue, red, green field above, a white catfish on a black field below(Per fesse, the first tierced in pale azure, gules and vert, the second sable, a catfish argent)",,,
346,House Shell,Dorne,,,,
347,House Shell,The Vale,,,,Andal invasion
348,House Shepherd,Iron Islands,,,,
349,House Shermer of Smithyton,The Reach,"a field of copper nails on blue, a copper border rayonne",,,
350,House Shett of Gull Tower,The Vale,"Three golden wings, bendwise, on a checkered white and black field(Chequy argent and sable, in bend three dexter wings elevated bendwise or)",,,
351,House Shett of Gulltown,The Vale,"Nine white seagulls on a field of brown(Tenné, nine seagulls argent, 3, 3, 2, 1)",,,
352,House Slate of Blackpool,The North,"Pale grey, a double tressure white",,,
353,House Sloane,The Reach,"Per pale, white stars strewn on indigo, an orange sun on yellow",,,
354,House Slynt of Harrenhal,None,"A bloody gold spear, on a black field, within a checkered gold and black border(Sable, a spear or, tipped gules, within a bordure chequy of the field and of the second)",,298 AC,
355,House Smallwood of Acorn Hall,The Riverlands,"Six brown acorns, on a yellow field(Or, six acorns, 3, 2, 1, tenné)","From These Beginnings",,
356,House Sparr of Great Wyk,Iron Islands,"an oak saltire on blue",,,
357,House Spicer of Castamere,The Westerlands,"Three black pepperpots on a saffron bend, across a field of green and silver stripes (Paly vert and argent, three pepperpots sable on a bend tenné)",,,
358,House Stackhouse,The Reach,,,,
359,House Stackspear,The Westerlands,"Two crossed black spears, on a checkered silver and gold field(Chequy argent and or, two spears in saltire sable)",,,
360,House Staedmon of Broad Arch,The Stormlands,"A black dagger piercing a red heart on a white de sang field, within an undulating red border(Argent goutté-de-sang, a heart gules transfixed by a dagger sable, all within a bordure wavy of the second)",,,
361,House Stane of Driftwood Hall,The North,"A driftwood tree, bare and brown, on pale green",,,
362,House Stark of Winterfell,The North,"A running grey direwolf, on an ice-white field","Winter is Coming",Age of Heroes,
363,House Staunton of Rook's Rest,The Crownlands,"two black wings upon a white fess on checkered black and grey",,,
364,House Stokeworth of Stokeworth,The Crownlands,"Vert, a lamb couchant argent holding a goblet or","Proud to be Faithful",,
365,House Stonehouse of Old Wyk,Iron Islands,"a black brazier on a grey masonry field",,,
366,House Stonetree of Harlaw,Iron Islands,"A bare stone tree, grey on black",,,
367,House Stout of Goldgrass,The North,"Chevronny tenné and Or",,,
368,House Strickland,,,,,
369,House Strong of Harrenhal,The Riverlands,"A tripartite pale, blue, red, and green, on a white field(Argent, a pale tierced per pale azure, gules, and vert)",,,131 AC
370,House Sunderland of the Three Sisters,The Vale,"Three women's heads, white with black hair, on a barry wavy blue and green field(Barry wavy azure and vert, three women's heads argents, crined sable)",,,
371,House Sunderly of Saltcliffe,Iron Islands,"A drowned man, pink and pale, floating upright in a blue-green sea",,,
372,House Sunglass of Sweetport Sound,The Crownlands,"Argent, seven mullets of seven points or",,,
373,House Swann of Stonehelm,The Stormlands,"Battling swans black and white, beaks and feet golden, on per pale white and black field(Per pale argent and sable, two swans combatant counterchanged, beaked and membered or)",,,
374,House Swyft of Cornfield,The Westerlands,"A blue bantam rooster, on a yellow field(Or, a cock close azure)","Awake! Awake!",,
375,House Swygert,The Stormlands,"A white scroll with gold knobs, on a purple field within a white tressure(Purpure a scroll argent, knobbed or, within a tressure of the second)","Truth Conquers",,
376,House Tallhart of Torrhen's Square,The North,"Tenny, three sentinel trees vert","Proud and Free",,
377,House Tarbeck of Tarbeck Hall,The Westerlands,"A seven-pointed star, parts silver parts blue, on a silver and blue field(Gyronny argent and azure, a star of seven points counterchanged)",,,261 AC
378,House Targaryen of King's Landing,The Crownlands,"Sable, a dragon thrice-headed gules","Fire and Blood",House Targaryen: >114 BCHouse Targaryen of King's Landing:1 AC,
379,House Tarly of Horn Hill,The Reach,"Vert, a huntsman striding to dexter proper garbed gules","First in Battle",,
380,House Tarth of Evenfall Hall,The Stormlands,"Quartered, yellow sun on a rose-coloured field and white crescents on a blue field(Quarterly, first and fourth, carnation, a sun-in-splendour or, second and third, azure, a moon increscent argent)",,,
381,House Tawney of Orkmont,Iron Islands,"A scourge of nettles, red and black, on white",,,
382,House Teague,The Riverlands,"A golden trident upright between two golden flanches, on a black field(Sable, between two flaunches a trident erect or)",,,Battle of Six Kings
383,House Templeton,,"Nine stars, one of seven points and eight of six points, on a gold saltire, on a black field(Sable, on a saltire or, nine mullets of the field, that in fesse-point of seven points, all others of six points)",,,
384,House Terrick,The Riverlands,"Per saltire purple and gold, four hawks' heads countercharged(Per saltire purpure and or, four hawks' heads counterchanged)",,,
385,House Thenn,The North,"Argent, a sun in splendour gules",,300 AC,
386,House Thorne,The Crownlands,"Gules, a flail argent within an bordure rayonne sable",,,
387,House Toland of Ghost Hill,Dorne,"Or, a dragon biting its tail vert",,,
388,House Tollett of the Grey Glen,The Vale,"Pily grey and black(Pily cendrée and sable)","When All is Darkest",,
389,House Torrent of Littlesister,The Vale,,,,
390,House Towers,The North,,,,
391,House Towers of Harrenhal,The Riverlands,"Five black towers within a red and black double tressure, on a white field(Argent, five towers sable within a double-tressure, the outer gules and the inner of the second)",,,
392,House Toyne,The Stormlands,"A black winged heart, on a gold field, within a black embattled borderOr, a winged heart within a bordure embattled sable)","Fly High, Fly Far",,281 AC in Westeros296 AC in Essos
393,House Trant of Gallowsgrey,The Stormlands,"A black hanged man, on a blue field(Azure, a hanged man sable)","So End Our Foes",,
394,House Tudbury,The Stormlands,"A brown tortoise within a yellow lozenge, on a green field(Vert, on a lozenge or a tortoise tergiant tenné)",,,
395,House Tully of Riverrun,The Riverlands,"A leaping silver trout on a field of blue and mud red(Paly wavy azure and gules, a trout embowed argent)","Family, Duty, Honor",,
396,House Turnberry,The Westerlands,"Nine strawberries on a white saltire, on a field of green and red vairy in point(Vairy-in-point vert and gules, on a saltire argent nine strawberries of the second)",,,
397,House Tyrell of Brightwater Keep,The Reach,,,299 AC,
398,House Tyrell of Highgarden,The Reach,"Vert, a rose Or","Growing Strong",,
399,House Uffering,The Reach,"Paly tenné and cendrée, upon a chief argent seven hands couped vert",,,
400,House Uller of Hellholt,Dorne,"per fess rayonny Or and gules",,,
401,House Umber of the Last Hearth,The North,"Gules, a roaring giant proper with shattered chains argent",,,
402,House Upcliff,The Vale,"A cresting sea-green wave, on a black field(Sable, a wave cresting vert)",,,
403,House Vaith of the Red Dunes,Dorne,"Tenny, on a pile Or three leopards statant sable",,Andal Invasion,
404,House Vance of Atranta,The Riverlands,"Quartered, a green dragon on a white field and a white tower on a black field(Quarterly, first and fourth, argent, a dragon vert, second and third, sable, a tower argent)",,,
405,House Vance of Wayfarer's Rest,The Riverlands,"Quartered, a black dragon on a white field and two golden eyes in a golden ring on a black field(Quarterly, first and fourth, argent, a dragon sable, second and third, sable, a pair of eyes within an annulet or)",,,
406,House Varner,The Reach,"Ermines, a weasel argent",,,
407,House Velaryon of Driftmark,The Crownlands,"seahorse rampant argent, on sea green","The Old, the True, the Brave",prior to 114BC,
408,House Vikary,The Westerlands,"Quarterly: a red boar's head on a white field; beneath a gold bend sinister, a silver lion rampant regardant with a forked tail, with gold teeth and claws, on a red field.",,,
409,House Volmark,Iron Islands,"Cendrée, a leviathan sable",,,
410,House Vypren,,"A black toad on white lily pad, on a green field(Vert, a toad sable atop a lilypad argent)",,,
411,House Vyrwel of Darkdell,The Reach,"a silver wyvern within a red double tressure on sable",,,
412,House Wade,Dorne,,,,
413,House Wagstaff,The Stormlands,"Five yellow mascles, on a green field(Vert, five mascles in fess or)",,,
414,House Waterman,The North,"Argent, two oars saltirewise tenny between as many flaunces azure",,,
415,House Waxley of Wickenden,The Vale,"Three candles, white with red flames, within silver candle holders, on a grey field within a black border(Cendrée, three candles in holders argent, flamed gules, within a bordure sable)","Light in Darkness",,
416,House Wayn,The Riverlands,"Four wheels counterchanged on a quartered blue and white field(Quarterly azure and argent, four wheels counterchanged)",,,
417,House Waynwood of Ironoaks,The Vale,"A broken black wheel, on a green field(Vert, a wheel broken sable)",,,
418,House Weaver,Iron Islands,,,,
419,House Webber of Coldmoat,The Reach,"Sable, a cobweb argent thereon a spider gules",,,
420,House Wells,Dorne,,,,
421,House Wells,The North,"Per fess cendrée and lozengy argent and vert, in chief five pellets",,,
422,House Wendwater,The Crownlands,"A green engrailed pall, inverted on white, dividing three trees, green, red and bare","For All Seasons",,
423,House Wensington,The Stormlands,"Two golden trumpets crossed on a blue field, beneath a gold chief with three black stags(Azure, two trumpets saltirewise or, on a chief of the second three stags salient sable)","Sound The Charge",,
424,House Westbrook,The Reach,"Two green bars gemmel on gold",,,
425,House Westerling of the Crag,The Westerlands,"Six white shells, on a sand-coloured field(Or, six escallops argent)","Honor, Not Honors",,
426,House Westford,The Westerlands,"A black dog on blue",,,
427,House Whent of Harrenhal,The Riverlands,"Nine black bats, on a yellow field(Or, nine bats, 4, 3, 2, displayed sable)",,,
428,House Whitehill,The North,"A white pile inverted on indigo, an arch of 4-pointed stars above",,,
429,House Willum,The Reach,"three silver longswords crossed on black beneath a dragonbone skeleton on a white chief",,,
430,House Wode,The Riverlands,"Three white hedgehogs, on a yellow field(Or, three hedgehogs argent)","Touch Me Not",,
431,House Woodfoot of Bear Island,The North,,,,
432,House Woods,The North,,,,
433,House Woodwright,The Reach,"A red pall on a field of oak",,,
434,House Woolfield,The North,"Three woolsacks, white on purple, a white border",,,
435,House Wull,The North,"Azure, three wooden buckets tenné, a bordure chequy cendrée and white",,,
436,House Wydman,The Vale,"Five splintered lances, 3, 2, striped blue and white with blue pennons, on a yellow field, beneath a white chief bearing a red castle, a green viper, a black broken wheel, a purple unicorn and a yellow lion.","Right Conquers Might",,
437,House Wyl of the Boneway,Dorne,"A black adder biting a heel on yellow",,,
438,House Wylde of Rain House,The Stormlands,"A blue-green maelstrom, on a gold field(Or, a maelstrom azure)",,,
439,House Wynch of Iron Holt,Iron Islands,"a bloody moon on purple",,,
440,House Wythers,The Reach,"a grey squirrel on white with red border",,,
441,House Yarwyck,The Westerlands,"Two bronze halberds crossed between four red diamonds, on a white field(Argent, two halberds saltirewise tenné, hafted sable, between four lozenges gules)",,,
442,House Yelshire,The Reach,"Barry vert and Or, on a chief sable a battering-ram proper headed Or",,,
443,House Yew,The Westerlands,"A golden longbow between two crimson flaunches, on a white field(Argent, a longbow or between two flaunches gules)",,,
444,House Yronwood of Yronwood,Dorne,"Or, a portcullis sable","We Guard the Way",,
